,playerID,yearID,teamID,G,AB,R,H,RBI,BB,HBP,BA,OBP,batter,WH,AB_1-9,IABA,team
130,cabreme01,2015,CHA,158,629,70,172,77.0,40,2.0,0.27344992050874406,0.31892697466467956,466320,799.0,615,1.2991869918699186,CWS
131,cabreme01,2016,CHA,151,591,70,175,86.0,47,0.0,0.2961082910321489,0.34796238244514105,466320,824.0,577,1.4280762564991334,CWS
132,cabreme01,2017,CHA,98,397,54,117,56.0,25,1.0,0.2947103274559194,0.3380614657210402,466320,826.0,615,1.3430894308943089,KC
133,cabreme01,2017,CHA,98,397,54,117,56.0,25,1.0,0.2947103274559194,0.3380614657210402,466320,826.0,615,1.3430894308943089,CWS
134,cabreme01,2017,KCA,58,223,24,60,29.0,11,1.0,0.26905829596412556,0.30638297872340425,466320,826.0,615,1.3430894308943089,KC
135,cabreme01,2017,KCA,58,223,24,60,29.0,11,1.0,0.26905829596412556,0.30638297872340425,466320,826.0,615,1.3430894308943089,CWS
136,cabreme01,2018,CLE,78,250,28,70,39.0,20,3.0,0.28,0.34065934065934067,466320,309.0,257,1.2023346303501945,CLE
137,cabremi01,2015,DET,119,429,64,145,76.0,77,3.0,0.337995337995338,0.44204322200392926,408234,604.0,422,1.4312796208530805,DET
138,cabremi01,2016,DET,158,595,92,188,108.0,75,4.0,0.31596638655462184,0.3961424332344214,408234,871.0,584,1.4914383561643836,DET
139,cabremi01,2017,DET,130,469,50,117,60.0,54,3.0,0.24946695095948826,0.33079847908745247,408234,513.0,464,1.105603448275862,DET
140,cainlo01,2015,KCA,140,551,101,169,72.0,37,12.0,0.30671506352087113,0.36333333333333334,456715,804.0,599,1.342237061769616,KC
141,cainlo01,2016,KCA,103,397,56,114,56.0,31,2.0,0.2871536523929471,0.34186046511627904,456715,489.0,392,1.2474489795918366,KC
142,cainlo01,2017,KCA,155,584,86,175,49.0,54,5.0,0.2996575342465753,0.36391912908242613,456715,808.0,577,1.4003466204506065,KC
143,cainlo01,2018,MIL,141,539,90,166,38.0,71,8.0,0.3079777365491651,0.3964401294498382,456715,736.0,574,1.2822299651567943,MIL
144,calhoko01,2015,LAA,159,630,78,161,83.0,45,5.0,0.25555555555555554,0.31029411764705883,594777,715.0,620,1.153225806451613,LAA
145,calhoko01,2016,LAA,157,594,91,161,75.0,67,6.0,0.27104377104377103,0.35082458770614694,594777,753.0,591,1.2741116751269035,LAA
146,calhoko01,2017,LAA,155,569,77,139,71.0,71,8.0,0.24428822495606328,0.33641975308641975,594777,645.0,555,1.162162162162162,LAA
147,calhoko01,2018,LAA,137,491,71,102,57.0,53,1.0,0.20773930753564154,0.28623853211009176,594777,415.0,485,0.8556701030927835,LAA
148,canhama01,2015,OAK,124,441,61,112,70.0,33,8.0,0.25396825396825395,0.31742738589211617,592192,531.0,431,1.2320185614849188,OAK
149,canhama01,2018,OAK,122,365,60,91,52.0,34,10.0,0.2493150684931507,0.33007334963325186,592192,471.0,354,1.3305084745762712,OAK
150,canoro01,2015,SEA,156,624,82,179,79.0,43,3.0,0.28685897435897434,0.3358208955223881,429664,802.0,608,1.319078947368421,SEA
151,canoro01,2016,SEA,161,655,107,195,103.0,47,8.0,0.29770992366412213,0.352112676056338,429664,859.0,638,1.3463949843260188,SEA
152,canoro01,2017,SEA,150,592,79,166,97.0,49,4.0,0.28040540540540543,0.3395348837209302,429664,764.0,587,1.301533219761499,SEA
153,canoro01,2018,SEA,80,310,44,94,50.0,32,4.0,0.3032258064516129,0.37572254335260113,429664,407.0,307,1.3257328990228012,SEA
154,carpema01,2015,SLN,154,574,101,156,84.0,81,6.0,0.27177700348432055,0.367624810892587,572761,706.0,582,1.2130584192439862,STL
155,carpema01,2016,SLN,129,473,81,128,68.0,81,5.0,0.27061310782241016,0.3828264758497317,572761,585.0,467,1.2526766595289078,STL
156,carpema01,2017,SLN,145,497,91,120,69.0,109,9.0,0.2414486921529175,0.38699186991869916,572761,517.0,482,1.0726141078838174,STL
157,carpema01,2018,SLN,156,564,111,145,81.0,102,6.0,0.2570921985815603,0.37648809523809523,572761,626.0,558,1.1218637992831542,STL
158,cartech02,2015,HOU,129,391,50,78,64.0,57,6.0,0.19948849104859334,0.31057268722466963,474892,410.0,403,1.0173697270471465,HOU
159,cartech02,2016,MIL,160,549,84,122,94.0,76,9.0,0.2222222222222222,0.3264984227129338,474892,573.0,539,1.0630797773654916,MIL
160,casteni01,2015,DET,154,549,42,140,73.0,39,1.0,0.2550091074681239,0.30560271646859083,592206,656.0,542,1.2103321033210332,DET
161,casteni01,2016,DET,110,411,54,117,58.0,28,3.0,0.2846715328467153,0.334841628959276,592206,583.0,404,1.443069306930693,DET
162,casteni01,2017,DET,157,614,73,167,101.0,41,5.0,0.2719869706840391,0.32272727272727275,592206,770.0,609,1.264367816091954,DET
163,casteni01,2018,DET,157,620,88,185,89.0,49,6.0,0.29838709677419356,0.35555555555555557,592206,802.0,612,1.3104575163398693,DET
164,castiwe01,2015,ARI,80,274,34,70,50.0,21,5.0,0.25547445255474455,0.32,456078,373.0,331,1.1268882175226587,ARI
165,castiwe01,2015,ARI,80,274,34,70,50.0,21,5.0,0.25547445255474455,0.32,456078,373.0,331,1.1268882175226587,SEA
166,castiwe01,2015,ARI,80,274,34,70,50.0,21,5.0,0.25547445255474455,0.32,456078,373.0,331,1.1268882175226587,CHC
167,castiwe01,2016,ARI,113,416,41,110,68.0,33,4.0,0.2644230769230769,0.32450331125827814,456078,519.0,407,1.2751842751842752,ARI
168,castiwe01,2017,BAL,96,341,44,96,53.0,22,0.0,0.28152492668621704,0.325068870523416,456078,467.0,331,1.4108761329305135,BAL
169,castrja01,2015,HOU,104,337,38,71,31.0,33,2.0,0.21068249258160238,0.2849462365591398,488771,370.0,347,1.0662824207492796,HOU
170,castrja01,2016,HOU,113,329,41,69,32.0,45,1.0,0.20972644376899696,0.30666666666666664,488771,331.0,321,1.0311526479750779,HOU
171,castrja01,2017,MIN,110,356,49,86,47.0,45,4.0,0.24157303370786518,0.3333333333333333,488771,450.0,356,1.2640449438202248,MIN
172,castrst01,2015,CHN,151,547,52,145,69.0,21,5.0,0.26508226691042047,0.29842931937172773,516770,732.0,566,1.2932862190812722,CHC
173,castrst01,2016,NYA,151,577,63,156,70.0,24,3.0,0.2703639514731369,0.3029801324503311,516770,734.0,571,1.2854640980735552,NYY
174,castrst01,2017,NYA,112,443,66,133,63.0,23,4.0,0.3002257336343115,0.3404255319148936,516770,736.0,483,1.5238095238095237,NYY
175,castrst01,2018,MIA,154,593,76,165,54.0,48,0.0,0.2782462057335582,0.33229329173166927,516770,804.0,578,1.3910034602076125,MIA
176,cervefr01,2015,PIT,130,451,56,133,43.0,46,8.0,0.29490022172949004,0.3702970297029703,465041,704.0,432,1.6296296296296295,PIT
177,cervefr01,2016,PIT,101,326,42,86,33.0,56,6.0,0.26380368098159507,0.38144329896907214,465041,429.0,319,1.3448275862068966,PIT
178,cervefr01,2017,PIT,81,265,31,66,31.0,32,6.0,0.2490566037735849,0.3432343234323432,465041,346.0,261,1.3256704980842913,PIT
179,cervefr01,2018,PIT,104,332,39,86,57.0,51,15.0,0.25903614457831325,0.38190954773869346,465041,409.0,325,1.2584615384615385,PIT
180,cespeyo01,2015,DET,102,403,62,118,61.0,19,1.0,0.29280397022332505,0.3262411347517731,493316,929.0,667,1.3928035982008995,NYM
181,cespeyo01,2015,DET,102,403,62,118,61.0,19,1.0,0.29280397022332505,0.3262411347517731,493316,929.0,667,1.3928035982008995,DET
182,cespeyo01,2015,NYN,57,230,39,66,44.0,14,4.0,0.28695652173913044,0.3387096774193548,493316,929.0,667,1.3928035982008995,NYM
183,cespeyo01,2015,NYN,57,230,39,66,44.0,14,4.0,0.28695652173913044,0.3387096774193548,493316,929.0,667,1.3928035982008995,DET
184,cespeyo01,2016,NYN,132,479,72,134,86.0,51,7.0,0.2797494780793319,0.3575418994413408,493316,623.0,476,1.3088235294117647,NYM
185,cespeyo01,2017,NYN,81,291,46,85,42.0,26,2.0,0.2920962199312715,0.3542319749216301,493316,380.0,285,1.3333333333333333,NYM
186,chiriro01,2015,TEX,78,233,33,54,34.0,28,5.0,0.2317596566523605,0.32706766917293234,455139,302.0,243,1.242798353909465,TEX
187,chiriro01,2017,TEX,88,263,46,67,38.0,34,10.0,0.25475285171102663,0.36156351791530944,455139,306.0,259,1.1814671814671815,TEX
188,chiriro01,2018,TEX,113,360,48,80,65.0,45,19.0,0.2222222222222222,0.33962264150943394,455139,411.0,355,1.1577464788732394,TEX
